Type,RegionName,RegionId,Fias,OKATO
г,Ак-Довурак,22181,7e4932c1-2db8-4fee-9997-655d837e70e1,93403000000
г,Сарапул,22558,e69a280f-9064-490e-bae0-8bd39527872f,94440000000
г,Можга,22914,7096d8a5-2b41-47b1-95ae-35efcbc07dee,94430000000
г,Воткинск,22916,d948319d-b151-48f5-9791-22ccfeeabfe7,94410000000
г.,Глазов,22920,afeea607-0207-467f-8c59-562fc634f924,94420000000
г,Саяногорск,25280,f89db729-bbfa-4d64-b8d5-ecafbec0733d,95408000000
г,Черногорск,25285,2e3ec6d8-3835-4c57-9fbc-7e61b58a03a3,95415000000
г,Абаза,25346,a369b520-09b4-49b2-b28c-61c9146153e6,95402000000
г,Сорск,25349,bf626532-9e6c-4365-801e-c1d297ab40f0,95409000000
г,Канаш,26152,6edd2a33-d03a-4d59-83c3-e14de6890a49,97407000000
г,Шумерля,26395,068dfc2d-3a52-4d7f-93bc-797c286e66ac,97413000000
г,Новочебоксарск,26419,32599307-3fe7-4cf4-8fee-640044422d68,97410000000
г,Алатырь,27020,a699e866-12f0-42c3-94fd-67ca44468805,97404000000
г,Новоалтайск,28517,aa288d9f-4b2a-42a6-97f0-3502dddfa383,1413000000
г,Заринск,28522,142e04ef-dec1-44fa-b553-fac215764374,1406000000
г,Алейск,28523,ae716080-f27b-40b6-a555-cf8b518e849e,1403000000
г,Яровое,28525,e07d57ed-22ce-4020-b59c-f7aae6f091bf,1430000000
г,Белокуриха,28526,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,1404000000
г,Славгород,28673,94ae181d-b153-4dd1-8a2f-12852919875f,1419000000
г,Горячий Ключ,30535,298ebb96-d9c3-4809-b466-386c778234a5,3409000000
г,Геленджик,30592,e157b9c0-f908-48bc-a1d7-39c482a501a5,3408000000
г,Дивногорск,32369,76cc6918-6b7c-42b4-80da-4635d97d0da1,4409000000
г,Заозерный,32453,719b789d-2476-430a-89cd-3fedc643d821,4247501000
г,Талнах,32456,75c8a823-4432-4f70-a92d-f12ad2e131f3,4429515000
г,Кайеркан,32457,f601c59f-db06-4aa2-9bc9-25eb33bc3ef4,4429000000
г,Боготол,32539,cb56cf76-4a34-428d-8244-a802414d5fac,4406000000
г,Шарыпово,32540,e21e9175-86f9-4e24-b129-abdee0f956dc,4440000000
г,Лесосибирск,32559,2ddd48d6-e95b-4972-a34e-8586ed507763,4422000000
г,Железногорск,32562,e532b3c3-d300-4585-ada6-40e7900c2abf,4535000000
г,Минусинск,32626,5cfaf0c0-8f59-4321-9a5b-4b1c51b3779f,4423000000
г,Енисейск,32746,6eb21d40-5098-49bc-8b08-ac1a2805d22b,4412000000
г,Зеленогорск,32749,38f208d6-6f29-4d30-b826-b42e8beecc67,4537000000
г,Бородино,32757,78d7587f-ef26-48dc-81c6-d3ff445c9c8b,4407000000
г,Назарово,32763,ab0a1754-5ba1-48bb-8960-475c7fbc9feb,4426000000
г,Канск,32764,75917770-c4cb-44d8-afcc-8a6d395c3bc2,4420000000
г,Сосновоборск,32768,a139c8ba-831e-4ee5-87a9-1eead6984288,4433000000
г,Дальнегорск,35521,b2a863e2-37be-4858-b65e-0babc3872052,5407000000
г,Арсеньев,35550,36e4c7ce-7320-48ee-8320-0587c1e09917,5403000000
г,Спасск-Дальний,35589,e55554eb-c571-49d2-bf69-c3c4acf8b10b,5420000000
г,Дальнереченск,35590,e6e6c2b1-20cf-47a7-9a4b-39e8a96cc5c8,5408000000
г,Артем,35595,3ce80b09-9b72-4e68-9b2d-becaaee4570e,5405000000
г,Партизанск,35604,b62edf86-4257-4e80-ade6-857529bd1b1e,5417000000
г,Фокино,35618,fdb16823-586f-43d2-a1b4-b1c7c7f00bcd,5547000000
г,Лесозаводск,35628,71b4cdae-5e53-4406-a418-1e8b5c17dc2e,5411000000
г,Большой Камень,35930,1315186b-9ae8-4f92-b3a5-1db055c15358,5406000000
г,Ессентуки,36336,0ca8280c-89cb-4c81-8a99-ae10a98416bc,7410000000
г,Кисловодск,36339,82551e9e-14a4-4414-ad60-6cc944763ff3,7415000000
г,Лермонтов,36422,3808db7f-f793-40d0-ad74-691c158bc2de,7418000000
г,Железноводск,36431,f231a6e9-5631-44a6-80bf-585e9491165e,7412000000
г,Георгиевск,36470,ea88bcba-c562-438a-9115-8b32426b0c8e,7407000000
г,Николаевск-на-Амуре,37295,7a58fb7c-6d03-46e4-b5fc-3f5b587c09be,8414000000
г,Советская Гавань,37438,64f0ebe7-00e4-40a0-9dd9-15f9293632ae,8418000000
г,Бикин,37543,70dc89f8-f067-482a-bd50-4fb2782463e7,8406000000
г,Амурск,37545,d3c4b43d-3e19-4454-939b-d92ef3d6c875,8403000000
г,Свободный,38155,dd560dfa-3feb-48e2-aa3b-b71213e7441e,10430000000
г,Райчихинск,38156,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,10420000000
г,Белогорск,38161,c528e99b-7e81-4290-9cda-8713884472a5,10410000000
г,Зея,38163,581855f4-f0bc-44a5-a36e-a298279f9ec4,10412000000
г,Тында,38164,007e010f-e110-4a55-90a7-c4acac623c9b,10432000000
г,Шимановск,38185,809f0591-bb18-40a2-9fac-7d3d0a22c0bf,10440000000
г.,Циолковский,38186,f9ce3255-3f79-4457-919c-d180fa813b6a,10570000000
г,Новодвинск,38860,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,11415000000
г,Мирный,38886,977c7606-1b37-4424-84f7-b0c66c3e4b94,11525000000
г,Коряжма,38888,782acb50-ddfa-4483-bcbd-a5e667976036,11408000000
г,Шебекино,44373,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3,14450000000
г,Сельцо,45470,485f4c4d-aced-4b94-b975-88e72b7dcb72,15425000000
г,Фокино,46016,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d,15216504000
г,Новозыбков,46017,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,15420000000
г,Стародуб,46021,78e19000-cb0d-4e86-8205-242ee9de9e75,15250501000
г,Гусь-Хрустальный,49144,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,17420000000
г,Радужный,49152,c0ac6992-e48e-4648-b176-f56e7bcda57b,17537000000
г,Михайловка,51367,f02dbf6d-57ad-49bc-8011-603bf7126bb5,18420000000
г,Фролово,51471,57e3991f-e685-4ba2-9cef-9988e6fa5862,18428000000
г,Воронеж-45,62781,6bd80725-4a35-4c56-8940-8b17a51e9cfa,20213551000
г,Нововоронеж,62975,c7cdacb9-6a1e-4402-8bc6-6ec36a42d05c,20427000000
г,Тулун,67757,869c2c69-e8cd-43ae-9596-e0be50c0fcfe,25432000000
г,Усть-Кут,67759,cfb0a55a-3314-42bf-b3d8-5ed5368abdd6,25244501000
г,Тайшет,67765,945ac8e1-b529-4cec-afda-f92c6a6b0f70,25236501000
г,Иркутск-45,67766,664ba699-50ac-4a8b-999f-f8943da692ef,25401365000
г,Нижнеудинск,67830,5d596a21-da89-4820-91ef-6ce3940a0c9f,25228501000
г,Зима,67836,7c3452ac-3953-4b78-a80c-64ec839620a6,25420000000
г,Бодайбо,67839,8ace6ae4-7a35-494a-bfbd-9a743a929c39,25202501000
г,Черемхово,67869,f05b68c4-f1c7-4c3d-b557-f1f44a57b85f,25445000000
г,Свирск,67874,17e498bd-5f9e-4221-8998-5fa24a35ed2e,25427000000
г,Ладушкин,70452,04950f38-5c4c-4989-8b7a-6224795a2b59,27203505000
г,Мамоново,70453,2942ef2d-01b0-4137-8f46-5228e9eedd7f,27203510000
г,Пионерский,70454,9fee1c1b-9d14-42ea-8ff9-2e903501d43d,27417000000
г,Советск,70455,e401208f-3469-403f-910b-bba057cf70b2,27430000000
г,Светлый,70459,6d379259-b8d5-4cca-9412-1ded0849fd1a,27425000000
г,Вилючинск,75698,b75a9701-5cd4-4623-99d5-4fa7463ceb47,30535000000
г,Киселевск,75850,36122f01-1666-42e0-9c65-937787e8ca45,32416000000
г,Калтан,75856,5000e677-7d3c-4eec-b01d-f3f192abbd41,32415000000
г,Осинники,75864,1efff7c4-448a-48c5-b476-c803b4d36842,32434000000
г,Мыски,75866,070a8e7b-038f-48c8-9eed-16a6c03ab899,32428000000
г,Анжеро-Судженск,75884,8a5314a4-903e-475c-a4db-8f03db3b793f,32404000000
г,Тайга,75902,4da6f430-f531-42f5-9176-1f6cf7ba6367,32440000000
г.,Березовский,75911,ef6bac92-b712-42ba-942b-515b36b9a32c,32410000000
г,Юрга,75926,988289f5-d6d0-40d5-a483-55983e11c033,32449000000
г,Полысаево,75940,34ac1b24-f541-4279-abfb-466f80ed1f7b,32435000000
г,Белово,75943,1346744e-8a64-4712-8939-bb84a1692874,32407000000
г,Волгореченск,83820,40eb94b1-c51e-455c-92af-7dafaaa92caa,34406000000
г,Шадринск,86729,7870abeb-8b0f-4899-920b-3ab8ff6024c0,37405000000
г,Курчатов,88193,a6d4bd96-8c96-4c15-86df-73087f55534d,38408000000
г,Щигры,88221,9382c84c-3d08-4136-a674-9402da0b9e40,38415000000
г,Льгов,88222,6fe805e1-1dde-42cd-821e-173ffe50885d,38410000000
г,Сосновый Бор,92726,f4a4b31f-9f0a-4fdb-804c-d67661085eb4,41454000000
г,Сертолово,92916,5a86f05b-b29e-4313-ab41-43474c72de97,41450000000
г,Дубна,99825,c86ad06c-c721-4a7e-aa06-f622eed83b6f,46418000000
г,Протвино,99831,9990bc45-c7c1-407e-bdd2-5526e4f742d2,46467000000
г,Пущино,99833,49579edb-77cd-4967-9ef2-5530c4076067,46462000000
г,Звенигород,99836,4bae8c68-e107-4352-9d4b-f937f90469ac,46430000000
г,Рошаль,99861,377ca4f0-3268-42b4-bf68-af98c3682503,46465000000
г,Красноармейск,99862,bc5d23ce-e886-4dc7-976c-6b8be6d501d2,46443000000
г,Бронницы,99886,582fae29-5955-4dba-9f77-ebf9a8e60827,46405000000
г,Краснознаменск,99891,6e8a99b2-e6bd-4169-acb3-f7e6cd53be3b,46505000000
г,Домодедово,99892,d177d438-ea69-4169-854c-d4512d7c8ebe,46409000000
г,Климовск,100089,5a11404e-3a4f-4943-b60c-51480729dcfb,46436000000
г,Железнодорожный,100093,c8b7d7f3-857f-4acf-aeac-2b6e9aebc760,46404000000
г,Долгопрудный,100105,dcf522ad-e032-4db9-9dbb-e30d2cddfadb,46416000000
г,Дзержинский,100166,6fa8b59c-cda7-4c98-8b41-e0bcb2867e16,46411000000
г,Котельники,100167,67488a01-ccb7-4638-bcad-117db0fbe9a3,46444000000
г,Лосино-Петровский,100170,96c869d9-51a8-4db6-8011-9fc459c9a78c,46442000000
г,Черноголовка,100257,70c5b1c8-43ec-471f-b3df-fd6f60557332,46485000000
г,Электрогорск,100331,091e36e6-fab6-477b-8b07-9151cbeb9cd5,46491000000
